id,changed_company_id,name
1,5.0,Electronic Arts
2,,BioWare
3,,Looking Glass Studios
4,4940.0,Eidos Interactive
5,,Interplay Entertainment
6,,Lionhead Studios
7,,Visceral Games
8,,2K Games
9,10.0,Lucasfilm Games
10,,LucasArts
11,7.0,EA Redwood Shores
12,,Black Isle Studios
13,,Demiurge Studios
14,276.0,Bullfrog Productions
15,,2K Marin
17,,Digital Extremes
18,,2K China
19,,Arkane Studios
20,,Darkside Game Studios
21,,Irrational Games
23,,Feral Interactive
24,,Sierra Entertainment
25,,Ion Storm
26,,Square Enix
27,,Eidos Montréal
28,,(Archive) Bethesda Softworks LLC
29,,Rockstar Games
30,,Team Bondi
32,24.0,Sierra On-Line
36,,Frictional Games
37,,Capcom
38,,Ubisoft Montreal
39,,Ubisoft Annecy
41,,Riot Games
42,,Tencent Holdings
44,,Team Ico
45,10100.0,"Sony Computer Entertainment, Inc. (SCEI)"
47,,Obsidian Entertainment
48,,NetherRealm Studios
50,,WB Games
51,,Blizzard Entertainment
52,,LTI Gray Matter
53,1010.0,Microsoft Game Studios
54,,TransGaming Technologies
55,,Turtle Rock Studios
56,,Valve
57,,Certain Affinity
58,,Mojang Studios
59,,Blizzard North
60,,Climax Group
61,,Gameloft
62,,Griptonite Games
63,,Pandemic Studios
64,,Savage Entertainment
65,,Luxoflux
66,,Activision
67,,Petroglyph Games
68,,Ensemble Studios
69,,Big Ape Productions
70,,Nintendo
71,,Raven Software
72,45512.0,Vicarious Visions
73,,Aspyr Media
74,,CyberFront
75,,Factor 5
76,,Ronin Entertainment
77,,Totally Games
78,,Snowblind Studios
79,,Magic Pockets
80,179.0,Vivendi Games
81,,Destination Software
82,190.0,Atari
84,,CTO SpA
85,,Double Fine Productions
87,,Mythic Entertainment
88,160.0,Shiny Entertainment
89,,Shokwave
90,438.0,Neversoft Entertainment
91,,Playmates Interactive Entertainment
92,,NovaLogic
93,52915.0,Square Enix 1st Production Department
94,,EA Digital Illusions CE
95,,Disney Interactive
97,,New World Computing
99,,The 3DO Company
100,,Nival Interactive
101,,Freeverse Software
103,,Black Hole Entertainment
104,,Ubisoft Entertainment
106,,Loki Software
107,,Lego Media
108,,Techland
110,,Focus Entertainment
111,,The Creative Assembly
112,,Sega
113,,Westwood Studios
114,,reLINE Software
115,,Codemasters
116,,Bohemia Interactive Studio
117,,Troika Games
118,,Midway Studios Los Angeles
119,,Mass Media Interactive Entertainment
120,,MacPlay
121,,Blizzard Classic Arcade
122,,Crytek Frankfurt
125,,Crytek Budapest
126,,Bethesda Game Studios
127,,Funcom Productions
128,,Microsoft
129,,Konami
130,,MacSoft Games
131,,Robot Entertainment
132,,Destineer
133,,Rogue Entertainment
134,,Max Design
135,,Sunflowers
136,,Planet Moon Studios
137,94.0,Digital Illusions CE
138,,Refraction Games
139,,Take-Two Interactive
140,435.0,EA Los Angeles
141,,Virgin Interactive Entertainment (Europe) Ltd.
142,496.0,Westwood Pacific
143,,(Archive) EA Games - duplicate
144,,GSC Game World
145,,cdv Software Entertainment
146,,Strategy First
147,179.0,Vivendi Universal
148,,Gearbox Software
149,3118.0,Ritual Entertainment
150,,Hidden Path Entertainment
151,,Simtex
152,,MicroProse
153,,Digital Illusions CE: Canada
154,,Neowiz Games
155,,Easy Studios
158,,Crytek UK
159,129.0,Konami Computer Entertainment Tokyo
160,9728.0,Double Helix Games
161,,Konami Digital Entertainment
162,,Vatra Games
163,,Climax Studios
164,,Rocksteady Studios
165,,DC Entertainment
166,,Shadows in Darkness
167,168.0,People Can Fly
168,,"(Archive) Epic Games, Inc."
169,,MercurySteam
170,,Kojima Productions
173,,The Omni Group
174,,Digital Mayhem
175,,Haemimont Games
176,,FX Interactive
177,,(Archive) duplicate company name
178,,Intelligent Games
179,,Activision Blizzard
180,,Mythos Games
181,,Blue Fang Games
182,,Nihilistic Software
183,29492.0,Hasbro Interactive
184,,id Software
185,,Ninjaforce
186,,Stalker Entertainment
187,,"Nerve Software, LLC"
188,224.0,Apogee Software
189,,BAM! Entertainment
190,7647.0,Atari Corporation
191,,Imagineer
192,,Zodttd
193,,Jellyvision
194,,Hothouse Creations
195,1524.0,Brøderbund Software
196,,Relic Entertainment
197,,THQ
198,,Iron Lore Entertainment
199,,Sonokong
200,,Electronic Arts Victor
201,,Cyberlore Studios
202,,Pterodon
203,301.0,Illusion Softworks
204,,Gathering of Developers
205,213.0,GT Interactive Software
206,,Epic MegaGames
207,377.0,PopTop Software
208,,Frontier Developments
209,,Wideload Games
210,,Southlogic Studios
211,1611.0,Blue Castle Games
212,,Sunstorm Interactive
213,12036.0,Infogrames
214,,Sylum Entertainment
215,,WizardWorks Software
216,,Glu Mobile
217,,Morning Star Multimedia
218,,Vatical Entertainment
219,,Team Little Devils
221,,Splash Damage
222,,BioWare Edmonton
223,,Edge of Reality
224,,3D Realms
225,,Lobotomy Software
226,,Aardvark Software
227,4.0,U.S. Gold
228,,FormGen
229,,Sega of America
230,,MachineWorks Northwest
